time,league,pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
fh,Israel Youth League,GOOD,GOOD,0,1,2,1,1,1,0,0,62,31,119,72,65%,35%,False
lh,Israel Youth League,GOOD,GOOD,1,1,6,2,0,1,0,0,28,14,60,40,64%,36%,True
fh,Mali Premiere Division,GOOD,GOOD,0,0,1,3,9,4,12,18,78,57,142,127,51%,49%,False
lh,Mali Premiere Division,GOOD,GOOD,0,0,4,3,6,1,10,9,35,30,71,63,50%,50%,False
fh,Tanzania Premier Le...,GOOD,GOOD,1,0,7,0,9,4,12,2,83,44,103,87,61%,39%,False
lh,Tanzania Premier Le...,GOOD,GOOD,4,0,0,0,5,4,7,0,47,21,45,42,59%,41%,False
fh,Mali Premiere Division,GOOD,GOOD,0,1,1,2,1,2,1,2,64,46,102,94,49%,51%,False
lh,Mali Premiere Division,GOOD,GOOD,0,1,0,2,0,1,1,0,22,23,43,39,45%,55%,False
fh,Qatar U23 League,GOOD,GOOD,0,0,1,0,0,7,6,7,45,65,109,129,36%,64%,False
lh,Qatar U23 League,GOOD,GOOD,0,2,0,3,0,2,2,2,23,28,55,73,36%,64%,False
fh,Mali Premiere Division,GOOD,SUNNY,0,0,0,3,2,3,6,0,50,47,96,96,43%,57%,False
lh,Mali Premiere Division,GOOD,SUNNY,0,0,1,1,0,0,0,0,23,25,49,44,42%,58%,False
fh,Australia W-League,GOOD,GOOD,2,1,5,0,9,6,9,4,60,37,82,67,49%,51%,True
lh,Australia W-League,GOOD,GOOD,4,2,5,3,4,2,5,0,38,6,53,26,59%,41%,True
fh,India Delhi Senior ...,GOOD,GOOD,1,2,5,2,4,7,4,3,65,43,94,85,50%,50%,True
lh,India Delhi Senior ...,GOOD,GOOD,2,4,0,0,2,4,2,3,36,24,47,44,53%,47%,False
fh,Hong Kong Cup,GOOD,GOOD,0,1,5,0,4,10,1,14,46,81,72,90,42%,58%,True
lh,Hong Kong Cup,GOOD,GOOD,0,3,0,0,2,4,0,7,27,39,32,49,42%,58%,False
fh,Israel Youth League,GOOD,GOOD,2,0,3,0,13,3,9,6,51,45,113,102,51%,49%,False
lh,Israel Youth League,GOOD,GOOD,5,0,3,0,5,2,0,5,18,26,46,55,51%,49%,False
fh,Nepal Division 1,GOOD,GOOD,2,0,3,4,2,2,0,0,92,125,155,164,51%,49%,True
lh,Nepal Division 1,GOOD,GOOD,2,1,3,4,2,0,0,0,52,65,86,86,51%,49%,True
fh,China Super League,GOOD,GOOD,0,0,1,0,4,0,9,6,50,29,145,66,58%,42%,False
lh,China Super League,GOOD,GOOD,2,0,0,5,1,0,6,1,20,8,86,23,65%,35%,False
fh,China Super League,GOOD,GOOD,1,0,4,0,4,2,2,5,42,61,98,132,46%,54%,True
lh,China Super League,GOOD,GOOD,2,2,1,0,2,0,0,1,10,32,39,75,43%,57%,False
fh,Israel Youth League,GOOD,GOOD,0,0,0,0,4,2,4,7,32,39,68,62,44%,56%,False
lh,Israel Youth League,GOOD,GOOD,0,0,0,1,0,0,1,0,14,7,32,15,62%,38%,False
fh,Nepal Division 1,GOOD,GOOD,1,0,0,0,2,2,6,7,52,58,97,95,15%,85%,False
lh,Nepal Division 1,GOOD,GOOD,1,0,0,1,2,1,3,2,30,12,47,25,15%,85%,False
fh,Israel Youth League,GOOD,GOOD,1,5,2,2,11,9,7,4,79,51,111,96,51%,49%,True
lh,Israel Youth League,GOOD,GOOD,3,5,11,1,1,7,3,1,26,29,61,48,48%,52%,True
fh,Israel Youth League,GOOD,GOOD,0,1,1,1,9,3,9,3,82,44,103,76,64%,36%,True
lh,Israel Youth League,GOOD,GOOD,1,2,3,0,2,1,3,1,38,23,53,37,62%,38%,False
fh,Australia A-League,GOOD,GOOD,1,0,5,2,10,3,11,7,55,44,75,123,51%,49%,True
lh,Australia A-League,GOOD,GOOD,4,0,0,3,6,1,9,3,37,22,46,64,53%,47%,True
fh,Israel Youth League,GOOD,GOOD,0,0,3,4,1,6,5,2,53,60,110,114,48%,52%,True
lh,Israel Youth League,GOOD,GOOD,0,0,1,1,0,4,1,1,23,33,47,55,44%,56%,False
fh,India Delhi Senior ...,GOOD,GOOD,4,0,1,1,6,2,7,3,63,28,87,79,48%,52%,False
lh,India Delhi Senior ...,GOOD,GOOD,5,0,4,0,4,0,2,1,27,15,43,38,45%,55%,False
fh,Israel Youth League,GOOD,GOOD,0,0,1,6,1,4,7,16,40,84,83,105,29%,71%,True
